Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Uganda,UGA,41.8,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Ukraine,UKR,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,United Arab Emirates,ARE,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,United Kingdom,GBR,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,United States,USA,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Uruguay,URY,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Uzbekistan,UZB,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Vanuatu,VUT,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Venezuela, RB",VEN,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Vietnam,VNM,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Virgin Islands (U.S.),VIR,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,West Bank and Gaza,PSE,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,"Yemen, Rep.",YEM,..,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Zambia,ZMB,49.6,..
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Zimbabwe,ZWE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Afghanistan,AFG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Albania,ALB,99.8,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Algeria,DZA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,American Samoa,ASM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Andorra,AND,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Angola,AGO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Antigua and Barbuda,ATG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Argentina,ARG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Armenia,ARM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Aruba,ABW,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Austria,AUT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Azerbaijan,AZE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Bahamas, The",BHS,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bahrain,BHR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bangladesh,BGD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Barbados,BRB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belarus,BLR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belgium,BEL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belize,BLZ,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Benin,BEN,78.1,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bermuda,BMU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bhutan,BTN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bolivia,BOL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bosnia and Herzegovina,BIH,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Botswana,BWA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Brazil,BRA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,British Virgin Islands,VGB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Brunei Darussalam,BRN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bulgaria,BGR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Burkina Faso,BFA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Burundi,BDI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cabo Verde,CPV,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cambodia,KHM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cameroon,CMR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Canada,CAN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cayman Islands,CYM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Central African Republic,CAF,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Chad,TCD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Channel Islands,CHI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Chile,CHL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,China,CHN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Colombia,COL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Comoros,COM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Congo, Dem. Rep.",COD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Congo, Rep.",COG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Costa Rica,CRI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cote d'Ivoire,CIV,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Croatia,HRV,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cuba,CUB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Curacao,CUW,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cyprus,CYP,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Czech Republic,CZE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Denmark,DNK,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Djibouti,DJI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Dominica,DMA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Dominican Republic,DOM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ecuador,ECU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Egypt, Arab Rep.",EGY,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,El Salvador,SLV,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Equatorial Guinea,GNQ,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Eritrea,ERI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Estonia,EST,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ethiopia,ETH,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Faroe Islands,FRO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Fiji,FJI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Finland,FIN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,France,FRA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,French Polynesia,PYF,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Gabon,GAB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Gambia, The",GMB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Georgia,GEO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Germany,DEU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ghana,GHA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Gibraltar,GIB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Greece,GRC,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Greenland,GRL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Grenada,GRD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guam,GUM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guatemala,GTM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guinea,GIN,55.3,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guinea-Bissau,GNB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guyana,GUY,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Haiti,HTI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Honduras,HND,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Hong Kong SAR, China",HKG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Hungary,HUN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Iceland,ISL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,India,IND,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Indonesia,IDN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Iran, Islamic Rep.",IRN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Iraq,IRQ,95.6,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ireland,IRL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Isle of Man,IMN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Israel,ISR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Italy,ITA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Jamaica,JAM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Japan,JPN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Jordan,JOR,99.7,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kazakhstan,KAZ,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kenya,KEN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kiribati,KIR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Korea, Dem. People’s Rep.",PRK,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Korea, Rep.",KOR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kosovo,XKX,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kuwait,KWT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kyrgyz Republic,KGZ,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lao PDR,LAO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Latvia,LVA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lebanon,LBN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lesotho,LSO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Liberia,LBR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Libya,LBY,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Liechtenstein,LIE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lithuania,LTU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Luxembourg,LUX,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Macao SAR, China",MAC,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,North Macedonia,MKD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Madagascar,MDG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Malawi,MWI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Malaysia,MYS,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Maldives,MDV,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mali,MLI,67.3,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Malta,MLT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Marshall Islands,MHL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mauritania,MRT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mauritius,MUS,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mexico,MEX,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Micronesia, Fed. Sts.",FSM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Moldova,MDA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Monaco,MCO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mongolia,MNG,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Montenegro,MNE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Morocco,MAR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mozambique,MOZ,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Myanmar,MMR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Namibia,NAM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nauru,NRU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nepal,NPL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Netherlands,NLD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,New Caledonia,NCL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,New Zealand,NZL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nicaragua,NIC,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Niger,NER,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nigeria,NGA,43.4,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Northern Mariana Islands,MNP,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Norway,NOR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Oman,OMN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Pakistan,PAK,69.3,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Palau,PLW,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Panama,PAN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Papua New Guinea,PNG,56.4,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Paraguay,PRY,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Peru,PER,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Philippines,PHL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Poland,POL,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Portugal,PRT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Puerto Rico,PRI,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Qatar,QAT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Romania,ROU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Russian Federation,RUS,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Rwanda,RWA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Samoa,WSM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,San Marino,SMR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sao Tome and Principe,STP,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Saudi Arabia,SAU,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Senegal,SEN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Serbia,SRB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Seychelles,SYC,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sierra Leone,SLE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Singapore,SGP,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sint Maarten (Dutch part),SXM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Slovak Republic,SVK,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Slovenia,SVN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Solomon Islands,SLB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Somalia,SOM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,South Africa,ZAF,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,South Sudan,SSD,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Spain,ESP,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sri Lanka,LKA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Kitts and Nevis,KNA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Lucia,LCA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Martin (French part),MAF,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Vincent and the Grenadines,VCT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sudan,SDN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Suriname,SUR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Eswatini,SWZ,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sweden,SWE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Switzerland,CHE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Syrian Arab Republic,SYR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tajikistan,TJK,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tanzania,TZA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Thailand,THA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Timor-Leste,TLS,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Togo,TGO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tonga,TON,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Trinidad and Tobago,TTO,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tunisia,TUN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Turkey,TUR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Turkmenistan,TKM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Turks and Caicos Islands,TCA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tuvalu,TUV,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uganda,UGA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ukraine,UKR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Arab Emirates,ARE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Kingdom,GBR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United States,USA,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uruguay,URY,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uzbekistan,UZB,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Vanuatu,VUT,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Venezuela, RB",VEN,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Vietnam,VNM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Virgin Islands (U.S.),VIR,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,West Bank and Gaza,PSE,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Yemen, Rep.",YEM,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Zambia,ZMB,80.4,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Zimbabwe,ZWE,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Afghanistan,AFG,62.5,60.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Albania,ALB,9.5,9.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Algeria,DZA,23.8,23.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,American Samoa,ASM,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Andorra,AND,3.1,3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Angola,AGO,77.7,74.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Antigua and Barbuda,ATG,6.9,6.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Argentina,ARG,9.8,9.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Armenia,ARM,12.4,11.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Aruba,ABW,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Australia,AUS,3.7,3.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Austria,AUT,3.5,3.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Azerbaijan,AZE,21.6,20.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Bahamas, The",BHS,12.9,12.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bahrain,BHR,7.1,6.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bangladesh,BGD,32.3,30.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Barbados,BRB,13,12.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belarus,BLR,3.4,3.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belgium,BEL,3.5,3.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belize,BLZ,13,12.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Benin,BEN,92.8,90.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bermuda,BMU,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bhutan,BTN,29.6,28.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bolivia,BOL,27,26
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bosnia and Herzegovina,BIH,6,5.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Botswana,BWA,43,41.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brazil,BRA,14.4,13.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,British Virgin Islands,VGB,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brunei Darussalam,BRN,11.2,11.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bulgaria,BGR,7,6.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burkina Faso,BFA,90.7,87.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burundi,BDI,58.8,56.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cabo Verde,CPV,15.8,14.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cambodia,KHM,27.6,26.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cameroon,CMR,77.5,74.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Canada,CAN,5,4.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cayman Islands,CYM,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Central African Republic,CAF,114.2,110.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chad,TCD,117.7,113.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Channel Islands,CHI,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chile,CHL,7.2,7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,China,CHN,8.5,7.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Colombia,COL,14.2,13.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Comoros,COM,65.1,62.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Dem. Rep.",COD,87.6,84.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Rep.",COG,49.3,47.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Costa Rica,CRI,8.7,8.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cote d'Ivoire,CIV,82.4,79.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Croatia,HRV,4.8,4.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cuba,CUB,5.2,5.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Curacao,CUW,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cyprus,CYP,2.4,2.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Czech Republic,CZE,3.2,3.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Denmark,DNK,3.9,3.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Djibouti,DJI,59.3,57.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominica,DMA,34,34.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominican Republic,DOM,28.8,28
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ecuador,ECU,14.3,14
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,21,20.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,El Salvador,SLV,13.7,13.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Equatorial Guinea,GNQ,84.7,81.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Eritrea,ERI,41.9,40.5
