Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,74.2583702425345,74.533952132112,74.7936145719037,75.0333588983101,75.2492291135899
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,75.923,76.143,76.365,76.584,76.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.117,71.302,71.482,71.656,71.825
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,72.175,72.412,72.644,72.872,73.096
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,57.001,57.359,57.713,58.061,58.402
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,64.201,64.664,65.111,65.538,65.941
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,77.0341463414634,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,53.569,55.359,56.962,58.319,59.401
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,64.547,65.048,65.482,65.872,66.24
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,81.9429827672192,81.5692291055771,81.9545453308911,81.9322152288144,82.0596172798915
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,ECS,77.2859376807739,77.240962449086,77.5932005039425,77.7854251970125,77.9086066864279
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (excluding high income),ECA,72.2718078392738,72.595827949025,72.9488194604275,73.4127094788503,73.590781529875
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,72.8880799579456,73.1485813758075,73.5027179350298,73.8945964702111,74.0376029005072
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,80.8704475779471,80.5668071425711,80.9498646440156,80.9306588411386,81.0344092172663
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,81.5926829268293,81.7951219512195,82.0463414634146,82.2975609756098,82.5487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.03,67.103,67.175,67.252,67.341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.1804878048781,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,60.1842051768087,60.5480151961722,60.8886235126942,61.2047490220343,61.4999995849382
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.719512195122,82.3219512195122,82.5731707317073,82.5756097560976,82.7243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,76.546,76.787,77.024,77.251,77.462
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,64.318,64.913,65.418,65.839,66.187
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,60.667,60.91,61.166,61.44,61.735
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,72.707,72.973,73.207,73.414,73.6
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,81.090243902439,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,62.416,62.772,63.124,63.463,63.78
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,71.5384146341463,71.2463414634146,70.8487804878049,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,72.503,72.445,72.408,72.388,72.384
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,78.895,79.144,79.391,79.631,79.859
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,72.935,73.25,73.541,73.81,74.063
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,59.016,59.598,60.17,60.706,61.185
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,56.556,56.959,57.328,57.673,58.003
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,69.049,69.262,69.454,69.624,69.774
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,62.069,62.485,62.896,63.29,63.66
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,61.3343128170965,61.8529532354615,62.3232892974951,62.7486826008412,63.1350064011699
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,80.5125452443597,80.391986863666,80.5408514007047,80.5854654535,80.6561046818993
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,74.278,74.495,74.701,74.898,75.088
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,83.9804878048781,84.2780487804878,84.2268292682927,84.6804878048781,84.9341463414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.7634146341463,75.5682926829269,76.0634146341464,75.8170731707317,76.0658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,82.8609756097561,82.4682926829268,82.2048780487805,82.6609756097561,82.8609756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,68.286,68.607,68.897,69.165,69.416
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,70.481,70.768,71.035,71.282,71.509
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,75.502,75.796,76.047,76.271,76.479
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,69.7,69.929,70.122,70.294,70.454
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,81.3487804878049,81.4536585365854,81.6536585365854,82.1560975609756,82.2560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951,82.8024390243903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,74.042,74.098,74.175,74.267,74.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,73.969,74.078,74.184,74.292,74.405
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,71.62,72,72.3,72.95,73.15
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,64.135,64.798,65.393,65.909,66.342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,66.995,67.291,67.577,67.851,68.116
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People’s Rep.",PRK,71.198,71.481,71.711,71.91,72.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,71.0975609756098,71.3463414634146,71.6463414634146,71.9463414634146,72.1951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,75.019,75.13,75.224,75.311,75.398
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,70.4024390243902,70.6512195121951,70.9512195121951,71.2,71.4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,66.144,66.546,66.924,67.277,67.61
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,75.199482869078,75.4712131372615,75.7455760446245,76.0141534597395,76.2244388960199
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,74.7990690810121,74.9617220946921,75.1220587349306,75.2821359218146,75.4409154860844
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,74.5983558937152,74.762198524399,74.9237819664835,75.0852039154484,75.2460761223907
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,74.70017864173,74.8665592141084,75.0305703486171,75.1943150460216,75.3573807779103
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,63.5090606514635,63.9477769645535,64.3457714393416,64.7077302181912,65.0396241212957
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,78.732,78.768,78.8,78.833,78.875
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,49.891,51.038,52.059,52.947,53.705
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,61.723,62.269,62.802,63.295,63.73
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,71.981,72.121,72.311,72.52,72.724
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,82.0731707317073,82.6560975609756,82.2585365853659,83.7463414634147,83.0414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,74.5170731707317,74.3219512195122,74.6707317073171,75.4804878048781,75.6804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,69.9952558188931,70.2772057118224,70.5390374626685,70.7878362720244,70.9988075945446
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,61.9129460235598,62.3505613015469,62.7586367116496,63.1388930063391,63.4963387504082
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,67.3588283079263,67.6589221772166,67.9371208628659,68.1932685252092,68.4224690868156
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,82.2292682926829,82.2926829268293,82.6853658536585,82.0951219512195,82.2951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,83.543,83.707,83.854,83.989,84.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,65.133,65.539,65.931,66.311,66.681
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,61.042,61.953,62.681,63.279,63.798
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,75.268,75.461,75.649,75.828,75.997
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,77.36,77.691,78.013,78.325,78.627
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,57.036,57.509,57.987,58.452,58.893
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,82.0463414634146,81.8975609756098,82.4536585365854,82.3463414634146,82.4487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,63.654,63.936,64.208,64.464,64.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.1943902439024,74.3531707317073,74.3948780487805,74.5146341463415,74.4163414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,74.908,74.904,74.917,74.947,74.992
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,67.152,67.315,67.471,67.618,67.755
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,MEA,73.3264170376357,73.5148448538059,73.7108202619547,73.899908278351,74.0889092566827
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (excluding high income),MNA,72.8011524598997,73.0002961166458,73.1982110954199,73.3942702537245,73.5873582148883
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (IDA & IBRD countries),TMN,72.7952270760874,72.9950526148397,73.1935470729551,73.3901310655417,73.5836428053412
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle income,MIC,70.8658446670323,71.1429274430186,71.4008606875212,71.6473668519881,71.8546143977488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,71.267,71.478,71.617,71.717,71.808
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,68.863,69.111,69.321,69.509,69.689
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,76.297,76.452,76.568,76.667,76.77
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,75.477,75.726,75.974,76.218,76.453
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,56.062,57.206,58.309,59.309,60.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,65.378,65.81,66.205,66.558,66.867
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,61.425,62.119,62.625,63.021,63.373
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,69.168,69.515,69.848,70.169,70.478
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.7073170731707,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,77.2528725957226,77.2443035079364,76.9615007371216,77.1487804878049,77.1487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659,81.8585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,73.429,73.649,73.86,74.068,74.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,60.07,60.631,61.137,61.599,62.024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,52.672,53.112,53.541,53.95,54.332
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,NAC,79.1381544431363,79.0122080964003,78.8774577897405,78.8841342856085,78.8868905457275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,75.299,75.406,75.498,75.589,75.688
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Not classified,INX,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,OECD members,OED,79.9137706254506,79.8122468683952,79.9612477309643,80.0063346784776,80.0775567357356
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,76.634,76.887,77.142,77.393,77.633
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Other small states,OSS,66.8911850747,67.405236123087,67.83562940085,68.2287591673445,68.5469317038401
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pacific island small states,PSS,69.2655319303293,69.4444587743698,69.6137419308888,69.7742837809553,69.929057966298
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,66.36,66.577,66.77,66.947,67.114
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,77.583,77.776,77.964,78.149,78.329
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,63.181,63.466,63.744,64.01,64.263
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,73.473,73.662,73.836,73.992,74.131
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,75.529,75.792,76.044,76.286,76.516
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,70.481,70.644,70.802,70.952,71.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,77.6024390243903,77.4512195121951,77.8512195121951,77.7536585365854,77.6024390243903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,81.1219512195122,81.1243902439025,81.1243902439025,81.4243902439025,81.3243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Post-demographic dividend,PST,80.5272112961998,80.3949800130771,80.5492211497747,80.5984414719389,80.6598920018751
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pre-demographic dividend,PRE,58.987778967973,59.5119589254375,59.9919371242937,60.427466911492,60.8209562953764
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,79.2024634146342,79.353487804878,79.4949756097561,79.6345365853659,79.7781951219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,79.646,79.758,79.868,79.981,80.1
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,74.909756097561,74.9121951219512,75.209756097561,75.309756097561,75.3585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,70.7436585365854,71.1834146341463,71.6512195121951,72.4319512195122,72.6573170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,66.884,67.45,67.93,68.341,68.7
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,72.549,72.73,72.895,73.046,73.187
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,69.052,69.377,69.67,69.933,70.17
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,74.533,74.651,74.761,74.874,74.998
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,66.37,66.747,67.078,67.38,67.665
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,75.3365853658537,75.2878048780488,75.6878048780488,75.5390243902439,75.890243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,73.2292682926829,74.2951219512195,74.309756097561,74.3,72.8414634146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,52.372,52.941,53.444,53.895,54.309
